iter	Logloss	Recall:use_weights=true	Recall:use_weights=false
0	0.5420574577	1	1
1	0.4274170198	1	1
2	0.31795659	1	1
3	0.2370501518	1	1
4	0.1862088708	1	1
5	0.1498047015	1	1
6	0.1137087589	1	1
7	0.09661780037	1	1
8	0.08045569262	1	1
9	0.0650266516	1	1
10	0.05136457433	1	1
11	0.04355885106	1	1
12	0.03505641235	1	1
13	0.02979661164	1	1
14	0.02522750219	1	1
15	0.02099439034	1	1
16	0.01752018333	1	1
17	0.01535304711	1	1
18	0.01347024864	1	1
19	0.01146701142	1	1
20	0.009937098264	1	1
21	0.008548081711	1	1
22	0.007544407487	1	1
23	0.006756786252	1	1
24	0.006041473174	1	1
25	0.005307817997	1	1
26	0.004745794145	1	1
27	0.004322392237	1	1
28	0.003857795941	1	1
29	0.003477481518	1	1
30	0.003185198615	1	1
31	0.002993996809	1	1
32	0.00275872637	1	1
33	0.002547860849	1	1
34	0.0023656203	1	1
35	0.002248222752	1	1
36	0.002109777449	1	1
37	0.001988522816	1	1
38	0.001862484934	1	1
39	0.001743206663	1	1
40	0.001632427559	1	1
41	0.001545852538	1	1
42	0.001468804706	1	1
43	0.00140125051	1	1
44	0.001345364119	1	1
45	0.001275123411	1	1
46	0.001213875524	1	1
47	0.001173090045	1	1
48	0.0011176338	1	1
49	0.001071126204	1	1
50	0.00102293358	1	1
51	0.000981155314	1	1
52	0.000945200327	1	1
53	0.0009046732088	1	1
54	0.000875766918	1	1
55	0.0008425738868	1	1
56	0.000811616778	1	1
57	0.0007833728413	1	1
58	0.0007480585177	1	1
59	0.0007480585177	1	1
60	0.0007480480027	1	1
61	0.0007248903809	1	1
62	0.0007248803281	1	1
63	0.0007248766926	1	1
64	0.0007248703811	1	1
65	0.0007248496213	1	1
66	0.0007248367039	1	1
67	0.0007187086343	1	1
68	0.0007187086343	1	1
69	0.0007187086343	1	1
70	0.0007187086343	1	1
71	0.0007187071123	1	1
72	0.0007187071123	1	1
73	0.0007187071123	1	1
74	0.0007186977559	1	1
75	0.0007186977559	1	1
76	0.0007186866336	1	1
