iter	Passed	Remaining
0	64	51249
1	67	27084
2	69	18491
3	72	14492
4	76	12209
5	79	10553
6	82	9383
7	85	8435
8	88	7758
9	91	7260
10	93	6738
11	96	6326
12	98	5939
13	101	5700
14	104	5453
15	105	5184
16	107	4973
17	110	4809
18	112	4638
19	115	4521
20	117	4375
21	120	4244
22	122	4133
23	124	4018
24	126	3928
25	128	3811
26	130	3742
27	133	3668
28	135	3595
29	137	3528
30	138	3445
31	141	3391
32	144	3359
33	146	3310
34	149	3258
35	150	3202
36	153	3164
37	156	3134
38	158	3099
39	161	3062
40	162	3016
41	164	2974
42	167	2957
43	170	2922
44	172	2897
45	175	2875
46	177	2850
47	182	2852
48	184	2825
49	186	2794
50	188	2763
51	190	2744
52	193	2730
53	196	2712
54	198	2682
55	200	2661
56	203	2654
57	205	2631
58	208	2619
59	210	2595
60	212	2572
61	214	2556
62	216	2537
63	218	2512
64	220	2488
65	222	2471
66	225	2464
67	227	2450
68	229	2429
69	230	2405
70	232	2390
71	235	2378
72	238	2377
73	241	2366
74	243	2351
75	246	2347
76	248	2330
77	250	2319
78	252	2308
79	254	2291
80	256	2276
81	259	2274
82	261	2259
83	262	2241
84	264	2228
85	267	2218
86	268	2202
87	270	2188
88	272	2174
89	274	2166
90	276	2150
91	279	2151
92	282	2149
93	285	2143
94	287	2135
95	289	2123
96	291	2112
97	293	2100
98	295	2090
99	298	2089
100	300	2079
101	301	2065
102	303	2055
103	305	2044
104	308	2042
105	310	2035
106	313	2027
107	315	2021
108	317	2014
109	320	2008
110	321	1998
111	323	1989
112	327	1989
113	328	1977
114	330	1971
115	333	1965
116	335	1957
117	337	1947
118	338	1937
119	340	1929
120	342	1922
121	343	1908
122	345	1900
123	346	1889
124	348	1880
125	350	1877
126	353	1871
127	355	1864
128	357	1858
129	359	1853
130	362	1850
131	364	1845
132	366	1837
133	367	1828
134	370	1822
135	372	1819
136	374	1814
137	376	1806
138	378	1800
139	380	1793
140	382	1789
141	384	1781
142	386	1776
143	387	1767
144	389	1761
145	392	1756
146	394	1753
147	396	1746
148	398	1742
149	401	1738
150	402	1730
151	404	1724
152	406	1720
153	408	1713
154	410	1709
155	413	1705
156	415	1700
157	416	1693
158	418	1687
159	420	1683
160	422	1677
161	424	1671
162	426	1665
163	427	1657
164	428	1650
165	430	1643
166	432	1638
167	434	1633
168	436	1628
169	437	1622
170	439	1618
171	441	1612
172	442	1605
173	444	1600
174	446	1596
175	449	1593
176	451	1589
177	453	1585
178	456	1583
179	459	1581
180	460	1576
181	462	1571
182	465	1568
183	466	1563
184	468	1557
185	470	1554
186	472	1549
187	474	1544
188	476	1540
189	478	1536
190	481	1533
191	483	1531
192	485	1527
193	488	1525
194	490	1521
195	491	1515
196	494	1512
197	495	1506
198	497	1502
199	499	1497
200	500	1492
201	502	1487
202	504	1483
203	506	1480
204	508	1475
205	509	1470
206	511	1464
207	512	1459
208	514	1453
209	515	1448
210	517	1443
211	519	1441
212	521	1436
213	523	1432
214	525	1429
215	527	1425
216	529	1423
217	532	1421
218	534	1418
219	536	1413
220	537	1408
221	539	1403
222	541	1400
223	543	1397
224	545	1394
225	546	1389
226	548	1384
227	550	1380
228	552	1376
229	553	1372
230	555	1368
231	557	1364
232	558	1359
233	560	1354
234	561	1350
235	563	1346
236	565	1342
237	567	1340
238	569	1336
239	572	1334
240	573	1330
241	575	1326
242	577	1322
243	578	1318
244	580	1314
245	582	1311
246	584	1308
247	586	1304
248	588	1301
249	590	1298
250	591	1294
251	594	1293
252	596	1289
253	598	1286
254	600	1282
255	601	1278
256	603	1274
257	605	1271
258	606	1267
259	608	1264
260	610	1260
261	612	1256
262	613	1253
263	615	1250
264	617	1247
265	619	1243
266	620	1239
267	622	1235
268	624	1231
269	625	1227
270	627	1224
271	629	1221
272	631	1218
273	632	1215
274	634	1211
275	636	1208
276	637	1204
277	640	1201
278	641	1198
279	643	1194
280	644	1190
281	646	1186
282	647	1183
283	649	1180
284	651	1177
285	653	1173
286	654	1169
287	655	1165
288	657	1162
289	659	1159
290	660	1155
291	662	1152
292	663	1148
293	665	1145
294	666	1141
295	668	1137
296	669	1134
297	671	1130
298	672	1127
299	674	1123
300	676	1121
301	679	1120
302	681	1117
303	683	1114
304	684	1111
305	686	1108
306	688	1105
307	690	1102
308	691	1098
309	693	1096
310	695	1093
311	696	1089
312	698	1086
313	700	1083
314	701	1080
315	703	1077
316	705	1074
317	707	1071
318	708	1068
319	710	1065
320	711	1062
321	713	1058
322	715	1056
323	716	1053
324	718	1050
325	720	1046
326	722	1044
327	723	1041
328	725	1039
329	727	1036
330	728	1032
331	732	1032
332	734	1029
333	736	1027
334	737	1023
335	739	1020
336	741	1018
337	742	1014
338	744	1011
339	746	1009
340	747	1006
341	749	1004
342	751	1001
343	753	998
344	755	996
345	756	993
346	758	990
347	760	987
348	762	985
349	764	983
350	766	979
351	767	976
352	769	974
353	770	971
354	772	968
355	773	964
356	775	961
357	776	958
358	778	956
359	780	953
360	781	950
361	783	947
362	784	944
363	787	943
364	788	940
365	790	937
366	792	935
367	794	932
368	795	929
369	797	926
370	799	924
371	801	922
372	803	919
373	804	916
374	807	914
375	808	912
376	810	909
377	811	906
378	814	904
379	815	901
380	817	899
381	819	896
382	820	893
383	822	891
384	824	888
385	826	886
386	827	883
387	829	880
388	831	878
389	833	876
390	835	873
391	836	871
392	838	868
393	839	865
394	842	863
395	843	861
396	846	859
397	848	856
398	850	854
399	852	852
400	853	849
401	855	847
402	857	844
403	859	842
404	862	840
405	864	838
406	865	835
407	867	833
408	868	830
409	870	828
410	872	825
411	874	823
412	876	821
413	879	819
414	881	817
415	883	815
416	884	812
417	886	810
418	888	807
419	889	804
420	891	802
421	894	801
422	895	798
423	897	796
424	899	793
425	900	791
426	903	788
427	904	786
428	906	783
429	907	781
430	909	778
431	911	776
432	912	773
433	914	770
434	917	769
435	920	768
436	921	765
437	923	763
438	924	760
439	926	758
440	928	755
441	930	753
442	931	750
443	933	748
444	934	745
445	936	743
446	937	740
447	939	738
448	940	735
449	943	733
450	944	731
451	947	729
452	949	727
453	950	724
454	952	721
455	953	719
456	955	717
457	957	715
458	959	712
459	960	710
460	962	707
461	963	705
462	965	702
463	966	700
464	968	697
465	969	695
466	971	692
467	973	690
468	975	688
469	976	685
470	978	683
471	979	680
472	981	678
473	982	675
474	984	673
475	985	671
476	987	668
477	989	666
478	990	663
479	991	661
480	993	658
481	994	656
482	995	653
483	997	651
484	999	648
485	1000	646
486	1001	643
487	1002	641
488	1005	639
489	1006	637
490	1009	635
491	1010	632
492	1012	630
493	1013	627
494	1015	625
495	1017	623
496	1019	621
497	1021	619
498	1023	617
499	1025	615
500	1027	612
501	1028	610
502	1030	608
503	1031	605
504	1033	603
505	1035	601
506	1037	599
507	1039	597
508	1042	595
509	1043	593
510	1045	591
511	1047	588
512	1048	586
513	1050	584
514	1052	582
515	1053	580
516	1055	578
517	1057	575
518	1059	573
519	1061	571
520	1062	569
521	1064	566
522	1065	564
523	1067	562
524	1068	559
525	1071	557
526	1073	556
527	1076	554
528	1077	552
529	1079	549
530	1081	547
531	1082	545
532	1084	543
533	1086	541
534	1088	538
535	1089	536
536	1090	534
537	1092	532
538	1094	530
539	1096	527
540	1098	525
541	1099	523
542	1101	521
543	1104	519
544	1105	517
545	1108	515
546	1110	513
547	1111	511
548	1114	509
549	1115	507
550	1117	504
551	1118	502
552	1120	500
553	1122	498
554	1124	496
555	1125	494
556	1127	491
557	1129	489
558	1132	488
559	1134	486
560	1137	484
561	1138	482
562	1140	480
563	1142	478
564	1144	475
565	1146	473
566	1148	472
567	1150	469
568	1151	467
569	1153	465
570	1155	463
571	1157	461
572	1159	459
573	1161	457
574	1164	455
575	1166	453
576	1168	451
577	1170	449
578	1173	447
579	1174	445
580	1176	443
581	1178	441
582	1180	439
583	1183	437
584	1185	435
585	1187	433
586	1189	431
587	1191	429
588	1193	427
589	1194	425
590	1196	423
591	1198	420
592	1199	418
593	1201	416
594	1203	414
595	1204	412
596	1206	410
597	1208	408
598	1209	405
599	1211	403
600	1212	401
601	1214	399
602	1215	397
603	1217	394
604	1218	392
605	1220	390
606	1221	388
607	1223	386
608	1224	384
609	1226	381
610	1227	379
611	1229	377
612	1230	375
613	1232	373
614	1234	371
615	1235	369
616	1236	366
617	1238	364
618	1239	362
619	1241	360
620	1242	358
621	1244	356
622	1245	353
623	1247	351
624	1248	349
625	1250	347
626	1251	345
627	1253	343
628	1254	341
629	1256	338
630	1257	336
631	1258	334
632	1260	332
633	1261	330
634	1263	328
635	1264	326
636	1266	324
637	1268	322
638	1270	320
639	1272	318
640	1274	316
641	1276	314
642	1277	311
643	1279	309
644	1281	307
645	1284	306
646	1285	304
647	1287	301
648	1289	299
649	1290	297
650	1293	295
651	1294	293
652	1296	291
653	1298	289
654	1300	287
655	1301	285
656	1303	283
657	1304	281
658	1306	279
659	1308	277
660	1310	275
661	1312	273
662	1314	271
663	1316	269
664	1317	267
665	1320	265
666	1321	263
667	1323	261
668	1325	259
669	1326	257
670	1328	255
671	1329	253
672	1331	251
673	1332	249
674	1334	247
675	1335	244
676	1337	242
677	1338	240
678	1340	238
679	1342	236
680	1343	234
681	1345	232
682	1347	230
683	1348	228
684	1350	226
685	1352	224
686	1354	222
687	1355	220
688	1358	218
689	1359	216
690	1361	214
691	1364	212
692	1365	210
693	1368	208
694	1369	206
695	1371	204
696	1373	202
697	1374	200
698	1376	198
699	1379	197
700	1380	194
701	1381	192
702	1384	190
703	1385	188
704	1386	186
705	1389	184
706	1391	182
707	1392	180
708	1394	178
709	1395	176
710	1397	174
711	1398	172
712	1400	170
713	1401	168
714	1403	166
715	1405	164
716	1407	162
